"","FIPS","CTYNAME","POPESTIMATE2021","DEATHS2021"
"1","01001","Autauga County",59095,681
"2","01003","Baldwin County",239294,2867
"3","01005","Barbour County",24964,394
"4","01007","Bibb County",22477,282
"5","01009","Blount County",59041,820
"6","01011","Bullock County",10320,129
"7","01013","Butler County",18884,295
"8","01015","Calhoun County",115972,1712
"9","01017","Chambers County",34541,512
"10","01019","Cherokee County",24996,473
"11","01021","Chilton County",45274,590
"12","01023","Choctaw County",12533,218
"13","01025","Clarke County",22760,395
"14","01027","Clay County",14190,221
"15","01029","Cleburne County",15103,252
"16","01031","Coffee County",54174,709
"17","01033","Colbert County",57474,877
"18","01035","Conecuh County",11328,230
"19","01037","Coosa County",10450,154
"20","01039","Covington County",37524,654
"21","01041","Crenshaw County",13083,218
"22","01043","Cullman County",89496,1265
"23","01045","Dale County",49342,652
"24","01047","Dallas County",37619,567
"25","01049","DeKalb County",71813,1021
"26","01051","Elmore County",89304,997
"27","01053","Escambia County",36699,564
"28","01055","Etowah County",103162,1751
"29","01057","Fayette County",16148,275
"30","01059","Franklin County",32013,448
"31","01061","Geneva County",26701,395
"32","01063","Greene County",7629,109
"33","01065","Hale County",14754,250
"34","01067","Henry County",17459,247
"35","01069","Houston County",107458,1418
"36","01071","Jackson County",52773,823
"37","01073","Jefferson County",667820,8543
"38","01075","Lamar County",13689,234
"39","01077","Lauderdale County",94043,1407
"40","01079","Lawrence County",33090,511
"41","01081","Lee County",177218,1483
"42","01083","Limestone County",107517,1112
"43","01085","Lowndes County",9965,176
"44","01087","Macon County",18895,325
"45","01089","Madison County",395211,4067
"46","01091","Marengo County",18996,306
"47","01093","Marion County",29246,510
"48","01095","Marshall County",98228,1323
"49","01097","Mobile County",413073,5460
"50","01099","Monroe County",19648,288
"51","01101","Montgomery County",227434,2550
"52","01103","Morgan County",123668,1620
"53","01105","Perry County",8355,140
"54","01107","Pickens County",18801,342
"55","01109","Pike County",32991,386
"56","01111","Randolph County",21989,340
"57","01113","Russell County",58722,763
"58","01115","St. Clair County",92748,1180
"59","01117","Shelby County",226902,2024
"60","01119","Sumter County",12164,188
"61","01121","Talladega County",81524,1249
"62","01123","Tallapoosa County",41023,709
"63","01125","Tuscaloosa County",227007,2230
"64","01127","Walker County",64818,1143
"65","01129","Washington County",15147,235
"66","01131","Wilcox County",10446,158
"67","01133","Winston County",23652,401
"68","02013","Aleutians East Borough",3398,14
"69","02016","Aleutians West Census Area",5059,14
"70","02020","Anchorage Municipality",288121,2179
"71","02050","Bethel Census Area",18557,165
"72","02060","Bristol Bay Borough",838,11
"73","02063","Chugach Census Area",6941,40
"74","02066","Copper River Census Area",2630,29
"75","02068","Denali Borough",1593,2
"76","02070","Dillingham Census Area",4772,48
"77","02090","Fairbanks North Star Borough",95593,641
"78","02100","Haines Borough",2071,23
"79","02105","Hoonah-Angoon Census Area",2332,24
"80","02110","Juneau City and Borough",31973,204
"81","02122","Kenai Peninsula Borough",59767,582
"82","02130","Ketchikan Gateway Borough",13754,106
"83","02150","Kodiak Island Borough",12787,78
"84","02158","Kusilvak Census Area",8360,84
"85","02164","Lake and Peninsula Borough",1416,17
"86","02170","Matanuska-Susitna Borough",110686,818
"87","02180","Nome Census Area",9865,99
"88","02185","North Slope Borough",10972,58
"89","02188","Northwest Arctic Borough",7560,57
"90","02195","Petersburg Borough",3356,39
"91","02198","Prince of Wales-Hyder Census Area",5729,36
"92","02220","Sitka City and Borough",8407,58
"93","02230","Skagway Municipality",1132,19
"94","02240","Southeast Fairbanks Census Area",6970,68
"95","02275","Wrangell City and Borough",2055,67
"96","02282","Yakutat City and Borough",704,1
"97","02290","Yukon-Koyukuk Census Area",5275,60
"98","04001","Apache County",65623,985
"99","04003","Cochise County",126050,1582
"100","04005","Coconino County",145052,1182
"101","04007","Gila County",53589,969
"102","04009","Graham County",39050,371
"103","04011","Greenlee County",9404,54
"104","04012","La Paz County",16408,392
"105","04013","Maricopa County",4496588,41160
"106","04015","Mohave County",217692,4021
"107","04017","Navajo County",108147,1482
"108","04019","Pima County",1052030,12448
"109","04021","Pinal County",449557,4496
"110","04023","Santa Cruz County",47883,444
"111","04025","Yavapai County",242253,3729
"112","04027","Yuma County",206990,2350
"113","05001","Arkansas County",16722,282
"114","05003","Ashley County",18674,305
"115","05005","Baxter County",42144,854
"116","05007","Benton County",293692,2362
"117","05009","Boone County",37830,565
"118","05011","Bradley County",10408,147
"119","05013","Calhoun County",4741,75
"120","05015","Carroll County",28435,356
"121","05017","Chicot County",10019,204
"122","05019","Clark County",21321,301
"123","05021","Clay County",14350,241
"124","05023","Cleburne County",25015,432
"125","05025","Cleveland County",7514,99
"126","05027","Columbia County",22672,339
"127","05029","Conway County",20873,296
"128","05031","Craighead County",112218,1224
"129","05033","Crawford County",60378,774
"130","05035","Crittenden County",47525,643
"131","05037","Cross County",16681,260
"132","05039","Dallas County",6308,110
"133","05041","Desha County",11090,158
"134","05043","Drew County",17110,239
"135","05045","Faulkner County",125106,1284
"136","05047","Franklin County",17173,263
"137","05049","Fulton County",12145,236
"138","05051","Garland County",100330,1657
"139","05053","Grant County",18090,248
"140","05055","Greene County",46317,605
"141","05057","Hempstead County",19694,291
"142","05059","Hot Spring County",33148,488
"143","05061","Howard County",12698,191
"144","05063","Independence County",37723,485
"145","05065","Izard County",13911,224
"146","05067","Jackson County",16811,242
"147","05069","Jefferson County",65861,944
"148","05071","Johnson County",25845,326
"149","05073","Lafayette County",6163,121
"150","05075","Lawrence County",16292,268
"151","05077","Lee County",8619,126
"152","05079","Lincoln County",13037,158
"153","05081","Little River County",11944,224
"154","05083","Logan County",21215,343
"155","05085","Lonoke County",74722,839
"156","05087","Madison County",16960,204
"157","05089","Marion County",16978,313
"158","05091","Miller County",42649,584
"159","05093","Mississippi County",39661,599
"160","05095","Monroe County",6683,122
"161","05097","Montgomery County",8611,165
"162","05099","Nevada County",8187,126
"163","05101","Newton County",7204,113
"164","05103","Ouachita County",22306,405
"165","05105","Perry County",9964,162
"166","05107","Phillips County",15906,279
"167","05109","Pike County",10066,177
"168","05111","Poinsett County",22660,412
"169","05113","Polk County",19353,341
"170","05115","Pope County",63789,728
"171","05117","Prairie County",8135,129
"172","05119","Pulaski County",397821,4632
"173","05121","Randolph County",18865,286
"174","05123","St. Francis County",22739,302
"175","05125","Saline County",125233,1430
"176","05127","Scott County",9822,128
"177","05129","Searcy County",7880,141
"178","05131","Sebastian County",128400,1542
"179","05133","Sevier County",15783,187
"180","05135","Sharp County",17622,335
"181","05137","Stone County",12481,191
"182","05139","Union County",38340,612
"183","05141","Van Buren County",15694,279
"184","05143","Washington County",250057,2089
"185","05145","White County",77207,1020
"186","05147","Woodruff County",6116,122
"187","05149","Yell County",20155,273
"188","06001","Alameda County",1648556,12705
"189","06003","Alpine County",1235,15
"190","06005","Amador County",41259,521
"191","06007","Butte County",208309,2383
"192","06009","Calaveras County",46221,603
"193","06011","Colusa County",21917,150
"194","06013","Contra Costa County",1161413,9804
"195","06015","Del Norte County",28100,298
"196","06017","El Dorado County",193221,2051
"197","06019","Fresno County",1013581,8865
"198","06021","Glenn County",28805,260
"199","06023","Humboldt County",136310,1536
"200","06025","Imperial County",179851,1567
"201","06027","Inyo County",18970,201
"202","06029","Kern County",917673,7682
"203","06031","Kings County",153443,1083
"204","06033","Lake County",68766,884
"205","06035","Lassen County",33159,242
"206","06037","Los Angeles County",9829544,82350
"207","06039","Madera County",159410,1302
"208","06041","Marin County",260206,2305
"209","06043","Mariposa County",17147,197
"210","06045","Mendocino County",91305,1037
"211","06047","Merced County",286461,2224
"212","06049","Modoc County",8661,114
"213","06051","Mono County",13247,49
"214","06053","Monterey County",437325,3128
"215","06055","Napa County",136207,1399
"216","06057","Nevada County",103487,1135
"217","06059","Orange County",3167809,25108
"218","06061","Placer County",412300,3915
"219","06063","Plumas County",19915,248
"220","06065","Riverside County",2458395,22167
"221","06067","Sacramento County",1588921,14293
"222","06069","San Benito County",66677,397
"223","06071","San Bernardino County",2194710,18941
"224","06073","San Diego County",3286069,26463
"225","06075","San Francisco County",815201,7135
"226","06077","San Joaquin County",789410,7059
"227","06079","San Luis Obispo County",283159,2671
"228","06081","San Mateo County",737888,5754
"229","06083","Santa Barbara County",446475,3632
"230","06085","Santa Clara County",1885508,13008
"231","06087","Santa Cruz County",267792,2226
"232","06089","Shasta County",182139,2480
"233","06091","Sierra County",3283,40
"234","06093","Siskiyou County",44118,617
"235","06095","Solano County",451716,4157
"236","06097","Sonoma County",485887,4933
"237","06099","Stanislaus County",552999,5094
"238","06101","Sutter County",99063,964
"239","06103","Tehama County",65498,768
"240","06105","Trinity County",16060,178
"241","06107","Tulare County",477054,3890
"242","06109","Tuolumne County",55810,694
"243","06111","Ventura County",839784,7178
"244","06113","Yolo County",216986,1563
"245","06115","Yuba County",83421,674
"246","08001","Adams County",522140,3902
"247","08003","Alamosa County",16547,123
"248","08005","Arapahoe County",654900,5228
"249","08007","Archuleta County",13790,116
"250","08009","Baca County",3514,56
"251","08011","Bent County",5759,58
"252","08013","Boulder County",329543,2319
"253","08014","Broomfield County",75325,504
"254","08015","Chaffee County",20074,202
"255","08017","Cheyenne County",1707,21
"256","08019","Clear Creek County",9446,63
"257","08021","Conejos County",7612,73
"258","08023","Costilla County",3625,27
"259","08025","Crowley County",6012,59
"260","08027","Custer County",5045,63
"261","08029","Delta County",31661,462
"262","08031","Denver County",711463,6019
"263","08033","Dolores County",2397,19
"264","08035","Douglas County",368990,2065
"265","08037","Eagle County",55727,163
"266","08039","Elbert County",27128,200
"267","08041","El Paso County",737867,5909
"268","08043","Fremont County",49661,628
"269","08045","Garfield County",62161,424
"270","08047","Gilpin County",5873,39
"271","08049","Grand County",15860,70
"272","08051","Gunnison County",17281,100
"273","08053","Hinsdale County",781,5
"274","08055","Huerfano County",6920,128
"275","08057","Jackson County",1363,9
"276","08059","Jefferson County",579581,5518
"277","08061","Kiowa County",1452,14
"278","08063","Kit Carson County",6950,78
"279","08065","Lake County",7407,32
"280","08067","La Plata County",56250,477
"281","08069","Larimer County",362533,2759
"282","08071","Las Animas County",14633,183
"283","08073","Lincoln County",5688,55
"284","08075","Logan County",21487,276
"285","08077","Mesa County",157335,1877
"286","08079","Mineral County",924,6
"287","08081","Moffat County",13185,131
"288","08083","Montezuma County",26175,341
"289","08085","Montrose County",43168,559
"290","08087","Morgan County",29008,300
"291","08089","Otero County",18594,290
"292","08091","Ouray County",5035,22
"293","08093","Park County",17720,142
"294","08095","Phillips County",4512,68
"295","08097","Pitkin County",17348,55
"296","08099","Prowers County",11996,142
"297","08101","Pueblo County",169622,2283
"298","08103","Rio Blanco County",6476,42
"299","08105","Rio Grande County",11408,142
"300","08107","Routt County",25091,139
"301","08109","Saguache County",6471,84
"302","08111","San Juan County",733,9
"303","08113","San Miguel County",8074,30
"304","08115","Sedgwick County",2336,37
"305","08117","Summit County",30941,80
"306","08119","Teller County",24926,234
"307","08121","Washington County",4861,71
"308","08123","Weld County",340036,2340
"309","08125","Yuma County",9941,118
"310","09001","Fairfield County",959768,8696
"311","09003","Hartford County",896854,9904
"312","09005","Litchfield County",185000,2254
"313","09007","Middlesex County",164759,1822
"314","09009","New Haven County",863700,9516
"315","09011","New London County",268805,2938
"316","09013","Tolland County",150293,1254
"317","09015","Windham County",116418,1262
"318","10001","Kent County",184149,2119
"319","10003","New Castle County",571708,5936
"320","10005","Sussex County",247527,3600
"321","11001","District of Columbia",670050,6552
"322","12001","Alachua County",279238,2522
"323","12003","Baker County",28715,310
"324","12005","Bay County",179168,2238
"325","12007","Bradford County",28540,369
"326","12009","Brevard County",616628,8659
"327","12011","Broward County",1930983,19099
"328","12013","Calhoun County",13641,207
"329","12015","Charlotte County",194843,3500
"330","12017","Citrus County",158083,3242
"331","12019","Clay County",222361,2351
"332","12021","Collier County",385980,4761
"333","12023","Columbia County",70385,1030
"334","12027","DeSoto County",34408,455
"335","12029","Dixie County",17102,252
"336","12031","Duval County",999935,10722
"337","12033","Escambia County",322390,4260
"338","12035","Flagler County",120932,1624
"339","12037","Franklin County",12572,152
"340","12039","Gadsden County",43714,570
"341","12041","Gilchrist County",18360,229
"342","12043","Glades County",12234,195
"343","12045","Gulf County",14363,225
"344","12047","Hamilton County",13993,178
"345","12049","Hardee County",25425,230
"346","12051","Hendry County",40313,387
"347","12053","Hernando County",200638,3324
"348","12055","Highlands County",103296,1880
"349","12057","Hillsborough County",1478194,14264
"350","12059","Holmes County",19784,298
"351","12061","Indian River County",163662,2563
"352","12063","Jackson County",47694,762
"353","12065","Jefferson County",14555,192
"354","12067","Lafayette County",8382,106
"355","12069","Lake County",395804,5542
